x_world,z_world
-0.887176,-0.801835
-0.888979,-0.798981
-0.890524,-0.796779
-0.893992,-0.792004
-0.897123,-0.786875
-0.899764,-0.781634
-0.900948,-0.778945
-0.902512,-0.775866
-0.905137,-0.770577
-0.907368,-0.765009
-0.908878,-0.760154
-0.909778,-0.757117
-0.911206,-0.752876
-0.912824,-0.747127
-0.913989,-0.741213
-0.913823,-0.741946
-0.913760,-0.742154
-0.913727,-0.742221
-0.913777,-0.741552
-0.913932,-0.737153
-0.913679,-0.733324
-0.913490,-0.729614
-0.913311,-0.725202
-0.912845,-0.719196
-0.912067,-0.713220
-0.911175,-0.707264
-0.910241,-0.701316
-0.909290,-0.695369
-0.908333,-0.689421
-0.907374,-0.683472
-0.906416,-0.677521
-0.905460,-0.671569
-0.904503,-0.665616
-0.903546,-0.659664
-0.902589,-0.653711
-0.901632,-0.647759
-0.900675,-0.641806
-0.899717,-0.635854
-0.898760,-0.629902
-0.897802,-0.623950
-0.896844,-0.617998
-0.895887,-0.612046
-0.894929,-0.606093
-0.893971,-0.600141
-0.893014,-0.594189
-0.892056,-0.588236
-0.891099,-0.582284
-0.890141,-0.576331
-0.889184,-0.570378
-0.888227,-0.564426
-0.887270,-0.558473
-0.886312,-0.552521
-0.885355,-0.546569
-0.884398,-0.540616
-0.883441,-0.534664
-0.882484,-0.528711
-0.881527,-0.522759
-0.880569,-0.516807
-0.879612,-0.510855
-0.878655,-0.504903
-0.877697,-0.498951
-0.876740,-0.492999
-0.875782,-0.487047
-0.874825,-0.481095
-0.873867,-0.475142
-0.872910,-0.469190
-0.871952,-0.463237
-0.870995,-0.457285
-0.870037,-0.451332
-0.869080,-0.445379
-0.868123,-0.439427
-0.867166,-0.433474
-0.866209,-0.427522
-0.865252,-0.421569
-0.864295,-0.415617
-0.863338,-0.409664
-0.862381,-0.403712
-0.861423,-0.397760
-0.860466,-0.391808
-0.859509,-0.385856
-0.858551,-0.379904
-0.857594,-0.373952
-0.856636,-0.368000
-0.855679,-0.362048
-0.854721,-0.356095
-0.853764,-0.350143
-0.852807,-0.344191
-0.851849,-0.338238
-0.850892,-0.332285
-0.849935,-0.326333
-0.848977,-0.320380
-0.848020,-0.314427
-0.847063,-0.308475
-0.846106,-0.302522
-0.845149,-0.296570
-0.844192,-0.290618
-0.843235,-0.284665
-0.842278,-0.278713
-0.841321,-0.272761
-0.840363,-0.266809
-0.839406,-0.260857
-0.838449,-0.254905
-0.837491,-0.248953
-0.836534,-0.243001
-0.835576,-0.237048
-0.834619,-0.231096
-0.833662,-0.225144
-0.832704,-0.219191
-0.831747,-0.213239
-0.830789,-0.207286
-0.829832,-0.201333
-0.828875,-0.195381
-0.827918,-0.189428
-0.826961,-0.183475
-0.826004,-0.177523
-0.825047,-0.171571
-0.824090,-0.165618
-0.823016,-0.159680
-0.821481,-0.153827
-0.819550,-0.148254
-0.817869,-0.144561
-0.816945,-0.142656
-0.815577,-0.138363
-0.813513,-0.132716
-0.810995,-0.127218
-0.808168,-0.122162
-0.806669,-0.119920
-0.804987,-0.116964
-0.802126,-0.111693
-0.798842,-0.106628
-0.795226,-0.101898
-0.793510,-0.100024
-0.790922,-0.096757
-0.787196,-0.092048
-0.786437,-0.090753
-0.787535,-0.091665
-0.787169,-0.092038
-0.787166,-0.092071
-0.787463,-0.092376
-0.791426,-0.093995
-0.791426,-0.093995
-0.791426,-0.093995
-0.791426,-0.093995
-0.791426,-0.093995
-0.791426,-0.093995
-0.791058,-0.093902
-0.791058,-0.093894
-0.791058,-0.093894
-0.791058,-0.093894
-0.791058,-0.093894
-0.791058,-0.093894
-0.791058,-0.093901
-0.791218,-0.093843
-0.791218,-0.093843
-0.791218,-0.093843
-0.791218,-0.093843
-0.791192,-0.093843
-0.790862,-0.093982
-0.788262,-0.095081
-0.780736,-0.097596
-0.777997,-0.100336
-0.776428,-0.101219
-0.771806,-0.104536
-0.766117,-0.108261
-0.760573,-0.111482
-0.758606,-0.112572
-0.756700,-0.113630
-0.751828,-0.115423
-0.746296,-0.118082
-0.740730,-0.120486
-0.735435,-0.123252
-0.733378,-0.124653
-0.730355,-0.126239
-0.725042,-0.128898
-0.719874,-0.132016
-0.715108,-0.135442
-0.713165,-0.137121
-0.709911,-0.139468
-0.705024,-0.142944
-0.700130,-0.146432
-0.695232,-0.149945
-0.690331,-0.153463
-0.685430,-0.156979
-0.680530,-0.160494
-0.675629,-0.164008
-0.670729,-0.167522
-0.665830,-0.171036
-0.660931,-0.174549
-0.656031,-0.178062
-0.651132,-0.181576
-0.646232,-0.185089
-0.641333,-0.188602
-0.636433,-0.192115
-0.631533,-0.195627
-0.626633,-0.199140
-0.621733,-0.202653
-0.616834,-0.206166
